id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
canij001,0,1,4,5,5,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
moelc001,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guzmc001,0,2,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lawtm002,0,3,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coomr001,0,4,3,4,4,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
ortid001,0,5,10,4,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
koskc001,0,6,5,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
huntt001,0,7,8,4,3,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
jonej003,0,8,7,4,2,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
piera001,0,9,2,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hockd001,0,9,11,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
jeted001,1,1,6,5,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
posaj001,1,2,2,5,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
oneip001,1,3,9,4,2,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
bellc001,1,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cansj001,1,3,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
willb002,1,4,8,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
justd001,1,5,7,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
martt002,1,6,3,4,4,2,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0
hillg001,1,7,10,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bross001,1,8,5,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
vizcj001,1,9,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
