id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
benam001,0,1,8,5,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
davir002,0,2,5,4,3,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
embra001,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
riosa001,0,2,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
nen-r001,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snowj001,0,3,3,5,4,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
kentj001,0,4,4,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
burke001,0,5,9,4,4,3,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0
cresf001,0,6,7,4,3,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
murrc001,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aurir001,0,7,6,4,4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
mirad001,0,8,2,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ruetk001,0,9,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
muelb001,0,9,5,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
vinaf001,1,1,4,4,4,2,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0
rente001,1,2,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
edmoj001,1,3,8,4,4,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0
tatif001,1,4,5,4,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
lankr001,1,5,7,4,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
paquc001,1,6,3,4,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
mathm001,1,7,2,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
dunss001,1,7,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drewj001,1,8,9,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sloch001,1,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
morrm001,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
howat001,1,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kiled001,1,9,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
davie001,1,9,11,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
